Data as of,Start Date,End Date,Group,Year,Month,MMWR Week,Week Ending Date,State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
10/24/24,4/19/20,4/25/20,By Week,2020,,17,4/25/20,California,532,5938,115,680,297,,918,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/26/20,5/2/20,By Week,2020,,18,5/2/20,California,543,5744,113,630,294,0,879,
10/24/24,5/3/20,5/9/20,By Week,2020,,19,5/9/20,California,553,5671,115,628,299,,882,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/10/20,5/16/20,By Week,2020,,20,5/16/20,California,505,5695,115,579,273,,812,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/17/20,5/23/20,By Week,2020,,21,5/23/20,California,487,5530,112,563,268,,785,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/24/20,5/30/20,By Week,2020,,22,5/30/20,California,464,5593,113,574,262,,777,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/31/20,6/6/20,By Week,2020,,23,6/6/20,California,448,5518,110,534,252,,731,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/7/20,6/13/20,By Week,2020,,24,6/13/20,California,447,5570,112,535,243,,740,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/14/20,6/20/20,By Week,2020,,25,6/20/20,California,459,5489,110,509,226,,743,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/21/20,6/27/20,By Week,2020,,26,6/27/20,California,496,5701,118,562,264,,795,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/28/20,7/4/20,By Week,2020,,27,7/4/20,California,646,5901,121,613,345,0,914,
10/24/24,7/5/20,7/11/20,By Week,2020,,28,7/11/20,California,739,6042,125,723,397,0,1065,
10/24/24,7/12/20,7/18/20,By Week,2020,,29,7/18/20,California,893,6230,131,757,477,0,1173,
10/24/24,7/19/20,7/25/20,By Week,2020,,30,7/25/20,California,1012,6250,130,873,563,,1322,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/26/20,8/1/20,By Week,2020,,31,8/1/20,California,1010,6339,134,880,573,0,1317,
10/24/24,8/2/20,8/8/20,By Week,2020,,32,8/8/20,California,998,6309,133,859,579,0,1278,
10/24/24,8/9/20,8/15/20,By Week,2020,,33,8/15/20,California,878,6291,134,811,505,0,1184,
10/24/24,8/16/20,8/22/20,By Week,2020,,34,8/22/20,California,830,6478,138,730,469,0,1091,
10/24/24,8/23/20,8/29/20,By Week,2020,,35,8/29/20,California,728,5878,122,675,406,,998,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/30/20,9/5/20,By Week,2020,,36,9/5/20,California,614,5784,120,637,355,0,896,
10/24/24,9/6/20,9/12/20,By Week,2020,,37,9/12/20,California,530,5874,124,592,295,0,827,
10/24/24,9/13/20,9/19/20,By Week,2020,,38,9/19/20,California,482,5755,120,521,269,0,734,
10/24/24,9/20/20,9/26/20,By Week,2020,,39,9/26/20,California,453,5563,114,541,265,0,729,
10/24/24,9/27/20,10/3/20,By Week,2020,,40,10/3/20,California,346,5671,117,491,194,0,643,
10/24/24,10/4/20,10/10/20,By Week,2020,,41,10/10/20,California,375,5568,114,522,224,,674,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/11/20,10/17/20,By Week,2020,,42,10/17/20,California,305,5621,113,448,165,,589,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/18/20,10/24/20,By Week,2020,,43,10/24/20,California,296,5351,107,422,168,0,550,
10/24/24,10/25/20,10/31/20,By Week,2020,,44,10/31/20,California,325,5529,111,442,171,,597,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/1/20,11/7/20,By Week,2020,,45,11/7/20,California,355,5872,115,483,205,0,633,
10/24/24,11/8/20,11/14/20,By Week,2020,,46,11/14/20,California,451,6004,120,518,217,0,752,
10/24/24,11/15/20,11/21/20,By Week,2020,,47,11/21/20,California,627,6350,123,694,350,,972,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/22/20,11/28/20,By Week,2020,,48,11/28/20,California,854,6390,126,774,454,,1175,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/29/20,12/5/20,By Week,2020,,49,12/5/20,California,1327,7164,133,1081,736,0,1672,
10/24/24,12/6/20,12/12/20,By Week,2020,,50,12/12/20,California,1971,8149,152,1432,1097,,2307,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/13/20,12/19/20,By Week,2020,,51,12/19/20,California,2942,9233,168,2054,1706,,3290,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/20/20,12/26/20,By Week,2020,,52,12/26/20,California,3942,10563,181,2607,2207,,4343,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/27/20,1/2/21,By Week,2020/2021,,53,1/2/21,California,4720,11273,193,3156,2779,,5098,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/3/21,1/9/21,By Week,2021,,1,1/9/21,California,5267,11908,190,3516,3120,,5665,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/10/21,1/16/21,By Week,2021,,2,1/16/21,California,5077,11586,184,3424,3042,,5462,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/17/21,1/23/21,By Week,2021,,3,1/23/21,California,4356,10419,174,2984,2652,,4689,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/24/21,1/30/21,By Week,2021,,4,1/30/21,California,3524,9597,168,2572,2234,,3866,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/31/21,2/6/21,By Week,2021,,5,2/6/21,California,2893,8778,151,2192,1856,,3234,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/7/21,2/13/21,By Week,2021,,6,2/13/21,California,2269,7864,140,1784,1461,,2593,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/14/21,2/20/21,By Week,2021,,7,2/20/21,California,1661,7021,125,1425,1091,,1997,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/21/21,2/27/21,By Week,2021,,8,2/27/21,California,1187,6725,120,1068,744,,1512,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/28/21,3/6/21,By Week,2021,,9,3/6/21,California,839,6452,113,843,541,,1142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/7/21,3/13/21,By Week,2021,,10,3/13/21,California,608,6220,110,694,387,0,915,
10/24/24,3/14/21,3/20/21,By Week,2021,,11,3/20/21,California,501,5995,108,615,311,0,805,
10/24/24,3/21/21,3/27/21,By Week,2021,,12,3/27/21,California,369,5801,108,512,210,,672,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/28/21,4/3/21,By Week,2021,,13,4/3/21,California,283,5756,108,437,149,,573,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/4/21,4/10/21,By Week,2021,,14,4/10/21,California,269,5431,102,417,156,0,530,
10/24/24,4/11/21,4/17/21,By Week,2021,,15,4/17/21,California,234,5357,104,417,137,0,514,
10/24/24,4/18/21,4/24/21,By Week,2021,,16,4/24/21,California,221,5370,106,382,111,0,492,
10/24/24,4/25/21,5/1/21,By Week,2021,,17,5/1/21,California,197,5392,104,386,102,0,481,
10/24/24,5/2/21,5/8/21,By Week,2021,,18,5/8/21,California,183,5370,106,362,96,,450,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/9/21,5/15/21,By Week,2021,,19,5/15/21,California,155,5264,106,347,82,,421,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/16/21,5/22/21,By Week,2021,,20,5/22/21,California,154,5273,107,345,81,0,418,
10/24/24,5/23/21,5/29/21,By Week,2021,,21,5/29/21,California,144,5354,108,320,77,0,387,
10/24/24,5/30/21,6/5/21,By Week,2021,,22,6/5/21,California,115,5207,105,317,58,0,374,
10/24/24,6/6/21,6/12/21,By Week,2021,,23,6/12/21,California,107,5192,104,319,47,0,379,
10/24/24,6/13/21,6/19/21,By Week,2021,,24,6/19/21,California,112,5477,110,315,57,0,370,
10/24/24,6/20/21,6/26/21,By Week,2021,,25,6/26/21,California,88,5358,108,320,49,0,359,
10/24/24,6/27/21,7/3/21,By Week,2021,,26,7/3/21,California,98,5257,109,318,54,0,362,
10/24/24,7/4/21,7/10/21,By Week,2021,,27,7/10/21,California,124,5283,108,315,71,0,368,
10/24/24,7/11/21,7/17/21,By Week,2021,,28,7/17/21,California,150,5297,109,352,80,,422,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/18/21,7/24/21,By Week,2021,,29,7/24/21,California,213,5432,115,379,121,0,471,
10/24/24,7/25/21,7/31/21,By Week,2021,,30,7/31/21,California,295,5508,115,429,169,0,555,
10/24/24,8/1/21,8/7/21,By Week,2021,,31,8/7/21,California,436,5736,121,544,266,0,714,
10/24/24,8/8/21,8/14/21,By Week,2021,,32,8/14/21,California,677,6055,127,724,428,0,973,
10/24/24,8/15/21,8/21/21,By Week,2021,,33,8/21/21,California,852,6280,133,809,511,,1150,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/22/21,8/28/21,By Week,2021,,34,8/28/21,California,1006,6353,136,944,646,0,1304,
10/24/24,8/29/21,9/4/21,By Week,2021,,35,9/4/21,California,1088,6451,133,1005,703,0,1390,
10/24/24,9/5/21,9/11/21,By Week,2021,,36,9/11/21,California,1129,6618,137,1061,791,0,1399,
10/24/24,9/12/21,9/18/21,By Week,2021,,37,9/18/21,California,996,6313,133,961,659,,1300,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/19/21,9/25/21,By Week,2021,,38,9/25/21,California,914,6370,132,907,607,0,1214,
10/24/24,9/26/21,10/2/21,By Week,2021,,39,10/2/21,California,828,6143,126,839,567,0,1100,
10/24/24,10/3/21,10/9/21,By Week,2021,,40,10/9/21,California,709,6098,126,768,472,0,1005,
10/24/24,10/10/21,10/16/21,By Week,2021,,41,10/16/21,California,569,5996,123,679,384,,865,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/17/21,10/23/21,By Week,2021,,42,10/23/21,California,588,6302,127,711,402,0,897,
10/24/24,10/24/21,10/30/21,By Week,2021,,43,10/30/21,California,589,6100,122,666,380,,876,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/31/21,11/6/21,By Week,2021,,44,11/6/21,California,576,6022,121,686,364,0,898,
10/24/24,11/7/21,11/13/21,By Week,2021,,45,11/13/21,California,601,6076,119,705,398,,910,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/14/21,11/20/21,By Week,2021,,46,11/20/21,California,591,6076,121,716,404,0,903,
10/24/24,11/21/21,11/27/21,By Week,2021,,47,11/27/21,California,529,6013,116,663,337,0,855,
10/24/24,11/28/21,12/4/21,By Week,2021,,48,12/4/21,California,515,6094,120,664,319,,862,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/5/21,12/11/21,By Week,2021,,49,12/11/21,California,459,6226,116,658,317,,802,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/12/21,12/18/21,By Week,2021,,50,12/18/21,California,544,6595,123,738,356,0,926,
10/24/24,12/19/21,12/25/21,By Week,2021,,51,12/25/21,California,523,6632,121,703,334,,894,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,12/26/21,1/1/22,By Week,2021/2022,,52,1/1/22,California,625,6821,117,790,351,,1066,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/2/22,1/8/22,By Week,2022,,1,1/8/22,California,946,7402,118,921,530,,1342,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/9/22,1/15/22,By Week,2022,,2,1/15/22,California,1392,7956,126,1134,741,,1790,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/16/22,1/22/22,By Week,2022,,3,1/22/22,California,1891,8225,137,1417,1072,,2240,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/23/22,1/29/22,By Week,2022,,4,1/29/22,California,1940,8127,142,1556,1181,,2316,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/30/22,2/5/22,By Week,2022,,5,2/5/22,California,1954,7928,137,1557,1187,,2325,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/6/22,2/12/22,By Week,2022,,6,2/12/22,California,1510,7764,138,1215,878,,1851,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/13/22,2/19/22,By Week,2022,,7,2/19/22,California,1106,6892,122,1008,668,,1448,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/20/22,2/26/22,By Week,2022,,8,2/26/22,California,812,6432,114,785,445,0,1152,
10/24/24,2/27/22,3/5/22,By Week,2022,,9,3/5/22,California,558,6254,109,671,328,,902,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/6/22,3/12/22,By Week,2022,,10,3/12/22,California,434,5906,104,512,233,0,713,
10/24/24,3/13/22,3/19/22,By Week,2022,,11,3/19/22,California,306,5762,104,474,155,,625,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/20/22,3/26/22,By Week,2022,,12,3/26/22,California,242,5632,104,433,130,,547,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/27/22,4/2/22,By Week,2022,,13,4/2/22,California,166,5361,100,373,71,,470,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/3/22,4/9/22,By Week,2022,,14,4/9/22,California,136,5504,104,347,59,,426,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/10/22,4/16/22,By Week,2022,,15,4/16/22,California,131,5449,106,340,53,,420,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/17/22,4/23/22,By Week,2022,,16,4/23/22,California,100,5306,104,323,40,,386,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/24/22,4/30/22,By Week,2022,,17,4/30/22,California,115,5511,107,336,42,0,409,
10/24/24,5/1/22,5/7/22,By Week,2022,,18,5/7/22,California,107,5370,106,299,35,,376,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/8/22,5/14/22,By Week,2022,,19,5/14/22,California,134,5396,109,329,44,,422,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/15/22,5/21/22,By Week,2022,,20,5/21/22,California,146,5469,111,362,61,,450,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/22/22,5/28/22,By Week,2022,,21,5/28/22,California,164,5600,113,350,60,,460,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/29/22,6/4/22,By Week,2022,,22,6/4/22,California,154,5592,113,349,59,12,456,
10/24/24,6/5/22,6/11/22,By Week,2022,,23,6/11/22,California,227,5648,113,376,93,13,521,
10/24/24,6/12/22,6/18/22,By Week,2022,,24,6/18/22,California,210,5464,110,340,79,22,493,
10/24/24,6/19/22,6/25/22,By Week,2022,,25,6/25/22,California,238,5625,113,357,103,,498,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/26/22,7/2/22,By Week,2022,,26,7/2/22,California,286,5636,117,373,97,,564,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/3/22,7/9/22,By Week,2022,,27,7/9/22,California,324,5718,117,374,122,,581,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/10/22,7/16/22,By Week,2022,,28,7/16/22,California,323,5571,115,383,124,,584,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/17/22,7/23/22,By Week,2022,,29,7/23/22,California,362,5893,124,422,130,,658,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/24/22,7/30/22,By Week,2022,,30,7/30/22,California,406,5652,118,454,165,,696,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,7/31/22,8/6/22,By Week,2022,,31,8/6/22,California,407,5902,125,439,140,,707,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/7/22,8/13/22,By Week,2022,,32,8/13/22,California,333,5751,121,378,118,,594,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/14/22,8/20/22,By Week,2022,,33,8/20/22,California,306,5808,123,364,103,,568,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,8/21/22,8/27/22,By Week,2022,,34,8/27/22,California,254,5478,117,383,100,0,537,
10/24/24,8/28/22,9/3/22,By Week,2022,,35,9/3/22,California,255,5579,115,402,104,,554,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/4/22,9/10/22,By Week,2022,,36,9/10/22,California,255,6003,124,374,91,,540,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/11/22,9/17/22,By Week,2022,,37,9/17/22,California,193,5580,118,363,71,0,485,
10/24/24,9/18/22,9/24/22,By Week,2022,,38,9/24/22,California,210,5549,115,389,86,,515,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,9/25/22,10/1/22,By Week,2022,,39,10/1/22,California,187,5527,113,359,76,,472,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/2/22,10/8/22,By Week,2022,,40,10/8/22,California,134,5474,113,315,45,,407,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/9/22,10/15/22,By Week,2022,,41,10/15/22,California,131,5336,110,347,46,,436,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/16/22,10/22/22,By Week,2022,,42,10/22/22,California,116,5337,107,351,48,,421,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/23/22,10/29/22,By Week,2022,,43,10/29/22,California,158,5559,112,326,62,,428,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,10/30/22,11/5/22,By Week,2022,,44,11/5/22,California,143,5734,115,388,60,,478,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,11/6/22,11/12/22,By Week,2022,,45,11/12/22,California,161,5807,114,389,52,17,514,
10/24/24,11/13/22,11/19/22,By Week,2022,,46,11/19/22,California,170,6061,121,404,66,19,527,
10/24/24,11/20/22,11/26/22,By Week,2022,,47,11/26/22,California,231,6265,121,504,86,48,696,
10/24/24,11/27/22,12/3/22,By Week,2022,,48,12/3/22,California,307,6698,132,544,117,93,822,
10/24/24,12/4/22,12/10/22,By Week,2022,,49,12/10/22,California,377,6762,125,617,153,99,938,
10/24/24,12/11/22,12/17/22,By Week,2022,,50,12/17/22,California,367,6682,124,604,157,89,900,
10/24/24,12/18/22,12/24/22,By Week,2022,,51,12/24/22,California,421,6938,126,623,184,79,936,
10/24/24,12/25/22,12/31/22,By Week,2022,,52,12/31/22,California,415,6715,115,627,175,65,925,
10/24/24,1/1/23,1/7/23,By Week,2023,,1,1/7/23,California,394,6785,108,588,158,59,877,
10/24/24,1/8/23,1/14/23,By Week,2023,,2,1/14/23,California,353,6438,102,580,145,46,827,
10/24/24,1/15/23,1/21/23,By Week,2023,,3,1/21/23,California,260,6074,101,541,124,17,692,
10/24/24,1/22/23,1/28/23,By Week,2023,,4,1/28/23,California,248,6262,110,489,98,,646,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,1/29/23,2/4/23,By Week,2023,,5,2/4/23,California,188,6259,108,504,66,,631,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/5/23,2/11/23,By Week,2023,,6,2/11/23,California,184,6199,110,483,81,,588,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/12/23,2/18/23,By Week,2023,,7,2/18/23,California,183,6080,108,491,86,,594,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/19/23,2/25/23,By Week,2023,,8,2/25/23,California,193,6267,112,495,78,,614,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,2/26/23,3/4/23,By Week,2023,,9,3/4/23,California,202,6311,110,497,87,,615,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/5/23,3/11/23,By Week,2023,,10,3/11/23,California,204,6221,110,468,80,,595,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/12/23,3/18/23,By Week,2023,,11,3/18/23,California,157,6173,111,433,68,,526,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/19/23,3/25/23,By Week,2023,,12,3/25/23,California,134,5688,106,432,56,,514,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,3/26/23,4/1/23,By Week,2023,,13,4/1/23,California,129,5799,108,380,54,,455,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/2/23,4/8/23,By Week,2023,,14,4/8/23,California,126,5766,108,418,48,,497,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/9/23,4/15/23,By Week,2023,,15,4/15/23,California,117,5721,111,382,43,,457,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/16/23,4/22/23,By Week,2023,,16,4/22/23,California,128,5768,113,405,53,,485,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/23/23,4/29/23,By Week,2023,,17,4/29/23,California,98,5660,110,380,38,,442,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,4/30/23,5/6/23,By Week,2023,,18,5/6/23,California,84,5412,107,321,29,,379,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/7/23,5/13/23,By Week,2023,,19,5/13/23,California,96,5524,112,391,37,,453,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/14/23,5/20/23,By Week,2023,,20,5/20/23,California,64,5478,111,325,22,,368,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/21/23,5/27/23,By Week,2023,,21,5/27/23,California,95,5301,107,356,36,,416,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,5/28/23,6/3/23,By Week,2023,,22,6/3/23,California,84,5373,108,365,34,,418,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/4/23,6/10/23,By Week,2023,,23,6/10/23,California,73,5460,109,367,31,,412,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/11/23,6/17/23,By Week,2023,,24,6/17/23,California,66,5339,107,339,27,,380,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
10/24/24,6/18/23,6/24/23,By Week,2023,,25,6/24/23,California,79,5330,107,352,35,,399,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
